society_id,society_name,society_type,society_description,society_keywords
23,Midwifery Society,Academic,"Academic society for midwifery students, providing clinical skills training, guest lectures, and networking opportunities in the field.","Midwifery, Clinical Skills, Guest Lectures, Networking"
24,Motorsport Society,Hobby,"Hobby-based society for motorsport enthusiasts, organizing track days, car meets, and motorsport-themed social events.","Motorsport, Track Days, Car Meets, Social Events"
25,Network (ESN),Cultural,"Cultural society supporting international students with integration, cultural exchange, and social events.","International Students, Integration, Cultural Exchange, Social Events"
26,Nigerian Student Society,Cultural,"Cultural society celebrating Nigerian culture through events, cultural performances, and community outreach activities.","Nigerian Culture, Events, Cultural Performances, Outreach"
27,Nursing Society,Academic,"Academic society for nursing students, offering clinical skills training, guest lectures, and networking opportunities in the healthcare field.","Nursing, Clinical Skills, Guest Lectures, Networking"
28,Occupational Therapy,Academic,"Academic society for occupational therapy students, providing workshops, conferences, and networking opportunities in the field.","Occupational Therapy, Workshops, Conferences, Networking"
29,Paintball Society,Hobby,"Hobby-based society for paintball enthusiasts, organizing games, tournaments, and social events for adrenaline junkies.","Paintball, Games, Tournaments, Social Events"
30,Pakistan Society,Cultural,"Cultural society celebrating Pakistani culture through events, cultural performances, and community outreach activities.","Pakistani Culture, Events, Cultural Performances, Outreach"
31,Paramedic Society,Academic,"Academic society for paramedic students, offering clinical skills training, simulation exercises, and guest lectures in pre-hospital care.","Paramedic, Clinical Skills, Simulation, Guest Lectures"
32,Pharmacy Society,Academic,"Academic society for pharmacy students, providing workshops, conferences, and networking opportunities in the pharmaceutical field.","Pharmacy, Workshops, Conferences, Networking"
33,Physiotherapy Society,Academic,"Academic society for physiotherapy students, offering clinical skills training, guest lectures, and networking opportunities in the field.","Physiotherapy, Clinical Skills, Guest Lectures, Networking"
34,Research Students Association (RSA),Academic,"Academic society representing research students, organizing conferences, seminars, and networking events to support postgraduate research.","Research Students, Conferences, Seminars, Networking"
35,RGU Communicators,Hobby,"Hobby-based society for public speaking enthusiasts, offering workshops, speech competitions, and networking opportunities for communication skills development.","Public Speaking, Workshops, Speech Competitions, Networking"
36,T.H.E Events,Academic,"Academic society hosting events, conferences, and workshops on technology, humanities, and engineering fields.","Events, Conferences, Workshops, Technology, Humanities, Engineering"
37,Uni Boob Team Society,Welfare,"Welfare society raising awareness and funds for breast cancer research and support through events, campaigns, and outreach activities.","Breast Cancer, Awareness, Fundraising, Support"
38,Vizion Society,Faith,"Faith-based society promoting spiritual growth, fellowship, and community service among members.","Faith, Spiritual Growth, Fellowship, Community Service"
