program_id,program_name,program_description,program_keywords,program_link
24,It's a Penalty,"It's a Penalty works collaboratively to end human trafficking, exploitation and abuse. We run local and global education and awareness campaigns to tackle the world's fastest growing crime.","Human Trafficking, Exploitation, Awareness",https://www.rguunion.co.uk/volunteering/providers/
25,Long Covid Kids,We represent and support children and young people living with Long Covid and related illnesses and the parents and caregivers that look after them.,"Long Covid, Children, Support, Illness",https://www.rguunion.co.uk/volunteering/providers/
26,Macmillan cancer support,"We're here to help everyone with cancer live life as fully as they can. Whether you need help paying bills, advice on benefits or treatment, or just want to chat, we're here to help.","Cancer Support, Information, Assistance",https://www.rguunion.co.uk/volunteering/providers/
27,Mamacita Foundation,"Mamacita Foundation is a community-focused nonprofit organization dedicated to enhancing the well-being and mental health of our diverse communities. Our mission is to provide support, foster friendsh","Mental Health, Community Support, Well-being",https://www.rguunion.co.uk/volunteering/providers/
28,MCR Pathways,"MCR recruits and trains volunteer mentors who are matched with a young person that shares similar interests, hobbies or career aspirations. Mentors meet with their young person at their school for just one hour per week and the difference this makes to their lives is transformational.","Mentoring, Youth Empowerment, Education",https://www.rguunion.co.uk/volunteering/providers/
29,Migrant Help,"We exist to protect people affected by displacement and exploitation, helping them thrive as individuals and recover from their trauma.","Displacement, Exploitation, Support",https://www.rguunion.co.uk/volunteering/providers/
30,MS Society Scotland,"Across the UK, our 270 local groups play a vital part in supporting people affected by MS. They provide sense of belonging, unity and friendship.","Multiple Sclerosis, Support Groups, Community",https://www.rguunion.co.uk/volunteering/providers/
31,Muscular Dystrophy UK,"We're the leading charity for over 60 muscle wasting and weakening conditions. For over 60 years, we�ve been building our community of individuals living with muscle-wasting or weakening conditions","Muscle Conditions, Support, Community",https://www.rguunion.co.uk/volunteering/providers/
32,"NSPCC, Childline",The NSPCC's Childline service is a confidential place for children to contact - over the phone or online. Their volunteers are there for young people when they feel they have no one else to turn to.,"Child Support, Confidential, Helpline",https://www.rguunion.co.uk/volunteering/providers/
33,Orthodox Research Institute of St John Chrysostom SCIO,Our organisation connects people involved in the research in Christian Eastern Orthodox Theology The mission of our organisation is to provide an academic platform which would allow researchers to continue research on a highest academic level and enable continuity of their belonging to a research community.,"Christian Theology, Research, Academic",https://www.rguunion.co.uk/volunteering/providers/
34,Oxfam Campaigns,Oxfam is a global community of people who believe in a radically better world. We believe we can overcome poverty by fighting the injustices and inequalities that fuel it. Join us today!,"Poverty, Injustice, Advocacy, Global Community",https://www.rguunion.co.uk/volunteering/providers/
35,Play Action International,"Play Action International are a UK registered charity and Kenyan and Ugandan NGO, offering short term global mobility and international volunteering opportunities in the summer.","International Volunteering, Summer Opportunities",https://www.rguunion.co.uk/volunteering/providers/
36,Re-engage,Re-engage is a charity that is positive about older age and committed to fighting loneliness so that people can have social lives and friendship groups however old they are.,"Elderly Support, Loneliness, Friendship",https://www.rguunion.co.uk/volunteering/providers/
37,RGU:Union,"We are the Student Union for Robert Gordon University in Aberdeen, here to represent RGU Students and make your life at RGU the best it can be.","Student Union, Representation, Student Life",https://www.rguunion.co.uk/volunteering/providers/
38,Riding for the Disabled Aberdeen Group,"Aberdeen RDA is a member group of the national charity Riding for the Disabled Association (RDA). Our ponies provide therapy, achievement and enjoyment to children & adults with disabilities.","Disabilities, Therapy, Riding, Charity",https://www.rguunion.co.uk/volunteering/providers/
39,"Robert Gordon University School of Nursing, Midwifery and Paramedic Practice","We regularly provide opportunities for Students to volunteer at Health focussed events providing health information to other students, staff and any visitors/ local population.","Health Events, Volunteering, Student Opportunities",https://www.rguunion.co.uk/volunteering/providers/
40,Rosies Social Enterprises (Turning Point Scotland),"We provide vocational training, support and work experience for people recovering from mental ill health, acquired brain injury and those with learning disabilities.","Vocational Training, Mental Health, Support",https://www.rguunion.co.uk/volunteering/providers/
41,Scotia Medical Group,"We are a charity with an ambition to deliver free first aid to community groups, in order to create a network of lifesavers. We also provide medical services to events across the North East.","First Aid, Lifesaving, Medical Services",https://www.rguunion.co.uk/volunteering/providers/
42,Searchlight Scotland,"Searchlight Scotland runs a restoration programme and supported accommodation for women whose lives have been affected by human trafficking, addiction, abuse and other life controlling issues.","Rehabilitation, Women's Support, Addiction",https://www.rguunion.co.uk/volunteering/providers/
43,SensationALL,SensationALL are a charity who run sensory based therapy groups and services for children and adults with multiple support needs.,"Sensory Therapy, Disabilities, Charity",https://www.rguunion.co.uk/volunteering/providers/
44,Shelter Scotland,"Shelter Scotland exists to defend the right to a safe, permanent home for everyone. We provide expert housing advice and support to those in the midst of the housing crisis.","Housing Rights, Homelessness, Support",https://www.rguunion.co.uk/volunteering/providers/
45,Silver City Surfers,"We offer free tutoring on smartphones, tablets and laptops for anyone in need of a bit of support. Volunteer Tutors assist the public at our drop in sessions, learners are mostly age 50 plus.","Technology Tutoring, Elderly Support, Learning",https://www.rguunion.co.uk/volunteering/providers/
46,Soroptimist International Aberdeen,"We stand up for women and girls- locally, nationally and internationally.","Women's Rights, Advocacy, Empowerment",https://www.rguunion.co.uk/volunteering/providers/
47,Sound Festival,"sound festival�is an innovative�festival�of new music. From contemporary classical to electro-acoustic, improvised, experimental and jazz music, the�festival�brings together a wide range of musical styles in a variety of concerts, workshops, installations and talks across Aberdeen City and Shire.","New Music, Festival, Concerts, Workshops",https://www.rguunion.co.uk/volunteering/providers/
48,Sport Aberdeen (Active Schools),Active Schools aims to provide more high quality extra-curricular sport & physical activity opportunities for school children and to develop effective pathways between schools and sports clubs.,"Physical Activity, Sports, School Children",https://www.rguunion.co.uk/volunteering/providers/
49,Street Soccer Scotland,"We are a major charity, operating in 4 major cities in Scotlnad. We provide free football for all backgrounds. We offer football to all walks of life and no-one ever has to pay for it!","Football, Charity, Community, Inclusion",https://www.rguunion.co.uk/volunteering/providers/
50,The Access Project,The Access Project supports students from under-resourced backgrounds to access top universities. We work with pupils to make good applications and transition to university.,"Education, Access, University Support",https://www.rguunion.co.uk/volunteering/providers/
51,The Bridge,Aberdeen Linking Lives is a befriending service run by The Bridge (SC050930) and Company number: SC741149. The befriending service has been on for over four years.,"Befriending, Support, Loneliness",https://www.rguunion.co.uk/volunteering/providers/
52,The Kiltwalk,"Kiltwalk is Scotland�s largest mass participation walking event with over 145,000 people taking part since 2016.","Walking Event, Charity, Participation",https://www.rguunion.co.uk/volunteering/providers/
53,The National Trust for Scotland,"The National Trust for Scotland is the charity that cares for, shares and speaks up for Scotland�s magnificent heritage. We�re Scotland�s largest membership organisation and independent from govt.","Heritage, Conservation, Scotland",https://www.rguunion.co.uk/volunteering/providers/
54,TLC,The TLC Befriending Project is and Aberdeen based project which supports people struggling with the devastating affects of poor mental health and wellbeing.,"Mental Health, Befriending, Support",https://www.rguunion.co.uk/volunteering/providers/
55,We Too!,"We Too! empowers families of children with life-long disabilities, by providing a quarterly ''What's On'' Guide for families, peer support hub, monthly children clubs and school holiday programmes.","Disabilities, Family Support, Peer Support",https://www.rguunion.co.uk/volunteering/providers/
