book_id,book_title,book_author,publication_year,classification_level_1,classification_level_2,classification_level_3
34,"11th Asian-Pacific Conference on Medical and Biological Engineering : proceedings of the Online Conference APCMBE 2020, May 25-27 2020 ",Asian-Pacific Conference on Medical and Biological Engineering Online) 2020 : (11th :,2021,Technology,Medicine & health,Medicine & health
35,"11th IEEE International Workshop on Program Comprehension : proceedings IWPC 2003 : 10-11 May, 2003, Portland, Oregon, USA","International Workshop on Program Comprehension Portland, Or.) 2003 : (11th :; International Workshop on Program Comprehension Corporate Author",2003,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
36,"11th IEEE Workshop on Real-Time Operating Systems and Software, RTOSS '94 : proceedings, May 18-19, 1994, Seattle, Washington","IEEE Workshop on Real-Time Operating Systems and Software Seattle, Wash.) 1994 : (11th :; IEEE Workshop on Real-Time Operating Systems and Software Corporate Author",1994,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
37,11th International Conference on Practical Applications of Computational Biology & Bioinformatics ,"International Conference on Practical Applications of Computational Biology & Bioinformatics Porto, Portugal) 2017 : (11th :",2017,Natural Sciences and Mathemetics,Life sciences; biology,Life sciences; biology
38,"11th International Software Product Line Conference : proceedings 10-14 September, 2007, Kyoto, Japan","International Software Product  Line Conference Kyoto, Japan) 2007 : (11th :; International Software Product  Line Conference Corporate Author",2007,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
39,1264-2022 - IEEE Guide for Animal Mitigation for Electric Power Supply Substations ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Technology,Agriculture & related technologies,Animal husbandry
40,"12th IEEE International Conference on Engineering Complex Computer Systems (ICECCS 2007): Auckland, New Zealand - 10-14 July 2007","Institute of Electrical and Electronics Engineers Computer Society Press, author, issuing body.",2007,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
41,12th International Conference on Advances in Information Technology ,"Association for Computing Machinery, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
42,1375-1998 IEEE Guide for the Protection of Stationary Battery Systems (Bci Endorsed,"Institute of Electrical and Electronics Engineers (IEEE), author, issuing body.",1998,Technology,Engineering & allied operations,Applied physics
43,"13th International Symposium on Process Systems Engineering : PSE 2018, July 1-5 2018 ","International Symposium on Process Systems Engineering San Diego, Calif.) 2018 : (13th :",2018,Technology,Chemical engineering,Chemical engineering
44,1402-2021 : IEEE Guide for Physical Security of Electric Power Substations ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
45,1407-2021 - IEEE Guide for Accelerated Aging Tests for 5 kV to 46 kV Extruded Electric Power Cables Using Water-Filled Tanks ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Natural Sciences and Mathemetics,Physics,Heat
46,14th Annual Symposium on Frequency Control ,"Institute of Electrical and Electronics Engineers, author, issuing body.",1960,Technology,Engineering & allied operations,Applied physics
47,"14th IEEE Symposium on High-Performance Interconnects : Hot Interconnects : proceedings : 23-25 August, 2005, Stanford, CA","Symposium on High Performance Interconnects Stanford, Calif.) 2006 : (14th :; Symposium on High Performance Interconnects Corporate Author",2006,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
48,14th International Conference on Digital Signal Processing 2002,"Institute of Electrical and Electronics Engineers, author, issuing body.",2002,Technology,Engineering & allied operations,Applied physics
49,14th International Conference on Electricity Distribution (CIRED '97),International Conference and Exhibition on Electricity Distribution (14th); International Conference and Exhibition on Electricity Distribution Corporate Author,1997,Technology,Engineering & allied operations,Applied physics
50,"14th International Conference on Modularity (MODULARITY Companion 2015) : proceedings : March 16-19, 2015, Fort Collins, CO, USA ","Modularity (Conference) Fort Collins, Colo.) 2015 : (14th :",2015,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
51,14th International Probabilistic Workshop ,"International Probabilistic Workshop Ghent, Belgium) 2016 : (14th :",2016,Technology,Engineering & allied operations,Civil engineering
52,"14th International Symposium on Temporal Representation and Reasoning : proceedings : June 28-30, 2007, Alicante, Spain","International Symposium on Temporal Representation and Reasoning Alicante, Spain) 2007 : (14th :; International Symposium on Temporal Representation and Reasoning Corporate Author",2006,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
53,"14th report : reform of the structural funds, with evidence.",Great Britain. Parliament. House of Lords. Select Committee on the European Communities.,1988,Social sciences,"Commerce, communications & transportation",International commerce
54,1526-2020 - IEEE recommended practice for testing the performance of stand-alone photovoltaic systems ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
55,"15th Euromicro International Conference on Parallel, Distributed, and Network-Based Processing : Naples, Italy : February 7-9, 2007","Euromicro Conference on Parallel, Distributed, and Network-based Processing Naples, Italy) 2007 : (15th :; Euromicro Conference on Parallel, Distributed, and Network-based Processing Corporate Author",2007,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
56,1609.12-2019 - IEEE Std 1609.12-2019 (Revision of IEEE Std 1609.12-2016) ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,Technology,Manufacture for specific uses,Precision instruments & other devices
57,1615-2019 - IEEE Recommended Practice for Network Communication in Electric Power Substations - Redline ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,Technology,Engineering & allied operations,Other branches of engineering
58,1616.1-2023 - IEEE Standard for Data Storage Systems for Automated Driving.,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
59,1637-2020 - IEEE guide for selection and application of terminations for shielded ac power cable rated 5 kV to 46 kV - redline ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
60,1653.5-2020 - IEEE recommended practice for thyristor controlled rectifiers for traction power substation applications ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
61,"16th Annual International Conference on Distributed Computing in Sensor Systems : DCOSS 2020 : proceedings : 15-17 June 2020, online event ","Abed, Husam, author.",2020,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
62,16th Brazilian Symposium on Integrated Circuit Design (SBCCI 2003),"Symposium on Integrated Circuits and Systems Design Sa?o Paulo, Brazil) 2003 : (16th :; IEEE Computer Society Staff Corporate Author",2003,Technology,Engineering & allied operations,Applied physics
63,"16th International Conference on Availability, Reliability and Security ","Association for Computing Machinery, author, issuing body.",2021,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
64,16TH WCEAM proceedings ,"World Congress on Engineering Asset Management Seville, Spain) 2022 : (16th :",2023,Technology,Engineering & allied operations,Engineering & allied operations
65,179-1961 - IEEE Standards on Piezoelectric Crystals:Measurements of Pieozolelectric Ceramics- 1961 ,"Institute of Electrical and Electronics Engineers, author, issuing body.",1961,Natural Sciences and Mathemetics,Physics,Electricity & electronics
66,"1799-2022 : IEEE Recommended Practice for Quality Control Testing of External Discharges on Stator Coils, Bars, and Windings - Redline ","Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Natural Sciences and Mathemetics,Physics,Modern physics
67,"17th DASC : the AIAA/IEEE/SAE Digital Avionics Systems Conference : proceedings : [Electronics in motion] : Belleview, WA, Oct. 31-Nov. 7, 1998","Digital Avionics Systems Conference Bellevue, Wash.) 1998 : (17th :; Digital Avionics Systems Conference Corporate Author",1998,Technology,Engineering & allied operations,Other branches of engineering
68,17th European Symposium on Computer Aided Process Engineering ,"European Symposium on Computer Aided Process Engineering Bucharest, Romania) 2007 : (17th :",2007,Technology,Chemical engineering,Chemical engineering
69,"17th International Conference on Biomedical Engineering : selected contributions to ICBME-2019, December 9-12, 2019, Singapore ",International Conference on Biomedical Engineering Singapore) 2019 : (17th :,2021,Technology,Medicine & health,Medicine & health
70,17th International Symposium on Spatial and Temporal Databases ,"Association for Computing Machinery, author, issuing body.",2021,History & geography,History of Europe,France & Monaco
71,1806-2021 : IEEE Guide for Reliability-Based Placement of Overhead and Underground Switching and Overcurrent Protection Equipment up to and Including 38 kV ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
72,1857.4-2018 - IEEE Standard for Second-Generation IEEE 1857 Video Coding ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2019,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
73,1858-2023 - IEEE Standard for Camera Phone Image Quality (CPIQ).,"Institute of Electrical and Electronics Engineers, author, issuing body.",2023,Social sciences,"Commerce, communications & transportation",Communications; telecommunication
74,18th European symposium on computer aided process engineering ,"European Symposium on Computer Aided Process Engineering Lyon, France) 2008 : (18th :",2008,Technology,Chemical engineering,Chemical engineering
75,18th IEEE International Conference on Automated Software Engineering (ASE 2003),IEEE International Automated Software Engineering Conference 2003) (18th :; IEEE Computer Society Staff Corporate Author,2003,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
76,1901-2020 - IEEE Standard for Broadband over Power Line Networks : Medium Access Control and Physical Layer Specifications - Redline ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
77,1901b-2021 - IEEE Standard for Broadband over Power Line Networks : Medium Access Control and Physical Layer Specifications Amendment 2: Enhancements for Authentication and Authorization ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2022,Social sciences,Law,Law of nations
78,1922.2-2019 - IEEE Standard for a Method to Calculate Near Real-Time Emissions of Information and Communication Technology Infrastructure ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2020,Social sciences,Economics,Economics of land & energy
79,1923.1-2021 - IEEE Standard for Computation of Energy Efficiency Upper Bound for Apparatus Processing Communication Signal Waveforms ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Applied physics
80,1937.1-2020 : Ieee standard interface requirements and performance characteristics of payload devices in drones ,"Institute of Electrical and Electronics Engineers, author, issuing body.",2021,Technology,Engineering & allied operations,Military & nautical engineering
81,1939 - the making of the Second World War ,"Aster, Sidney.",1973,History & geography,History of Europe,History of Europe
82,"1960 International Electron Devices Meeting : October 27-28, 1960, Shoreham Hotel, Washington, D.C ","Institute of Electrical and Electronics Engineers, author, issuing body.",1960,Technology,Engineering & allied operations,Applied physics
83,1960s fashion print : a sourcebook ,"Fogg, Marnie.",2008,The arts; fine & decorative arts,Drawing & decorative arts,Textile arts
84,"1965 twelfth annual Spring exhibition of Flemish, Dutch and Italian Old Masters catalogue of an exhibition held 18 March - 18 May 1964 at Leonard Koetser Ltd,London.","Koetser, Leonard.",1964,The arts; fine & decorative arts,Painting & paintings,"Historical, geographic & persons treatment"
85,1971 : a year in the life of color ,"English, Darby, 1974- author.",2017,The arts; fine & decorative arts,Arts,The Arts
86,1974 Annual Report : conference on Electrical Insulation and Dielectric Phenomena ,"Conference on Electrical Insulation and Dielectric Phenomena Downingtown, Pa.) (1974 :",1974,Technology,Engineering & allied operations,Applied physics
87,1985 IEEE GaAs IC Symposium Technical Digest ,"Institute of Electrical and Electronics Engineers, author, issuing body.",1985,Technology,Engineering & allied operations,Applied physics
88,"1989 2nd European Conference on Architecture : Science and technology at the service of architecture, proceedings of an international conference held at Paris, France, 4-8 December 1989 ","European Conference on Architecture Paris, France). 1989: (2nd :",1990,The arts; fine & decorative arts,Architecture,Architecture
89,"1991 ACM Computer Science Conference : March 5-7, 1991, San Antonio Convention Center, San Antonio, Texas : proceedings : preparing for the 21st century.","ACM Computer Science Conference San Antonio, Tex.) 1991 : (19th :; Hwang, C. Jinshong (C  J. )",1991,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
90,"1992 Regional Symposium on Electromagnetic Compatibility : ""1992-From a unified region to a unified world"", Tel Aviv, Israel, November 2-5, 1992 : program and papers","Regional Symposium on Electromagnetic Compatibility Tel Aviv, Israel) (1992 :; Regional Symposium on Electromagnetic Compatibility Corporate Author",1992,Technology,Engineering & allied operations,Applied physics
91,"1994 International Integrated Reliability Workshop final report : Stanford Sierra Camp, Lake Tahoe, California, October 16-19, 1994","International Integrated Reliability Workshop Lake Tahoe, Calif.) (1994 :; International Integrated Reliability Workshop Corporate Author",1994,Technology,Engineering & allied operations,Applied physics
92,1994 overseas market report : Turkey ,Society of Motor Manufacturers and Traders.,1994,Social sciences,Economics,Production
93,"1995 IEEE Wescanex: Communications, Power and Computing","IEEE WESCANEX 95 Winnipeg, Man.) (1995 :; IEEE WESCANEX 95 Corporate Author",1995,Technology,Engineering & allied operations,Applied physics
94,1995 International Symposium on Electrical Insulating Materials,IEEE Dielectrics and Electrical Insulation Society Staff Corporate Author,1995,Technology,Engineering & allied operations,Applied physics
95,1995 Proceedings 45th Electronic Components and Technology Conference,"IEEE, Society Staff Corporate Author",1995,Technology,Engineering & allied operations,Applied physics
96,"1996 4th International Conference on Millimeter Wave and Far Infrared Science and Technology : proceedings : 12-15 August 1996, Beijing, China ","International Conference on Millimeter Wave and Far Infrared Science and Technology Beijing, China) 1996 : (4th :; International Conference on Millimeter Wave and Far Infrared Science and Technology Corporate Author",1996,Technology,Engineering & allied operations,Applied physics
97,1996 Annual Conference of the Society of Instrument and Control (SICE),"Institute of Electrical and Electronics Engineers, author, issuing body.",1996,Technology,Engineering & allied operations,Other branches of engineering
98,1996 Canadian Conference on Electrical and Computer Engineering,"IEEE, Region 7 Staff Corporate Author",1996,Technology,Engineering & allied operations,Applied physics
99,1996 IEEE International Integrated Reliability Workshop Final Report,"International Integrated Reliability Workshop Lake Tahoe, California) (1996 :; IEEE, Electron Devices Society and Reliability Society Staff Corporate Author",1997,Technology,Engineering & allied operations,Applied physics
100,1996 IEEE MTT-S International Microwave Symposium Digest,"IEEE, Microwave Theory and Techniques Society and Components, Packaging and Mfg. Technology Society Staff, author.",1996,Technology,Engineering & allied operations,Applied physics
101,1996 XVIIth International Symposium on Discharges and Electrical Insulation in Vacuum,IEEE Dielectrics and Electrical Insulation Society Staff Corporate Author,1996,Natural Sciences and Mathemetics,Physics,Electricity & electronics
102,"1997 Annual Meeting of the North American Fuzzy Information Processing Society--NAFIPS : September 21-24, 1997, Syracuse, New York, U.S.A",North American Fuzzy Information Processing Society Annual Meeting Corporate Author,1997,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
103,1997 Fourth International Workshop on Community Networking : proceedings,"International Workshop on Community Networking Atlanta, Ga.) 1997 : (4th :; International Workshop on Community Networking Corporate Author",1996,Social sciences,"Commerce, communications & transportation",Communications; telecommunication
104,1997 IEEE Radiation Effects Data Workshop,"IEEE Radiation Effects Data Workshop Snowmass Village, Colorado) (1997 :; IEEE, Nuclear and Plasma Sciences Society Staff Corporate Author",1997,Technology,Engineering & allied operations,Applied physics
105,1997 IEEE Workshop on Applications of Signal Processing to Audio and Acoustics,IEEE Signal Processing Society Staff Corporate Author,1997,Technology,Engineering & allied operations,Applied physics
106,1997 International Symposium on Advanced Packaging Materials,"International Symposium on Advanced Packaging Materials Braselton, Ga.) 1997 : (3rd :; IEEE Components, Packaging and Manufacturing Technology Society Staff Corporate Author",1997,Technology,Engineering & allied operations,Applied physics
107,"1998 Fourth International High Temperature Electronics Conference : HITEC, Albuquerque, New Mexico, USA, June 14-18, 1998","International High Temperature Electronics Conference Albuquerque, N.M.) 1998 : (4th :; International High Temperature Electronics Conference Corporate Author",1998,Technology,Engineering & allied operations,Applied physics
108,"1998 IEEE International Conference on Systems, Man, and Cybernetics : intelligent systems for humans in a cyber world : Hyatt Regency La Jolla, San Diego, California, USA, October 11-14, 1998 ","IEEE International Conference on Systems, Man, and Cybernetics San Diego, Calif.) (1998 :; IEEE Systems, Man and Cybernetics Society Staff Corporate Author",1998,"Computer science, information & general works","Computer science, knowledge & systems",Knowledge
109,1998 Northcon,"Northcon/98 Seattle, Wash.) (1998 :; Northcon/98 Corporate Author",1998,Technology,Engineering & allied operations,Applied physics
110,"1998 Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems : digest of papers : [17-18 September, 1998, Ann Arbor, Michigan, USA","Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems Ann Arbor, Michigan) 1998 : (1st :; Topical Meeting on Silicon Monolithic Integrated Circuits in RF Systems Corporate Author",1998,Technology,Engineering & allied operations,Applied physics
111,1999 12th IEEE International Pulsed Power Conference,"IEEE International Pulsed Power Conference Monterey, Calif.) 1999 : (12th :; IEEE, Nuclear and Plasma Sciences Society Staff Corporate Author",2000,Technology,Engineering & allied operations,Applied physics
112,1999 Digest of the LEOS Summer Topical Meetings,LEOS Summer Topical Meetings Sheraton San Diego Hotel & Marina) (1999 :; IEEE Laser and Electro-Optics Society Staff Corporate Author,1999,Technology,Engineering & allied operations,Applied physics
113,1999 IEEE Guide for the Application of Insulation Coordination,"Institute of Electrical and Electronics Engineers, author, issuing body.",1999,Technology,Engineering & allied operations,Applied physics
114,"1999 IEEE/ASME International Conference on Advanced Intelligent Mechatronics proceedings : AIM '99, September 19-23, 1999, Renaissance Atlanta Hotel, Atlanta, Georgia, USA","IEEE/ASME International Conference on Advanced Intelligent Mechatronics Atlanta, Ga.) 1999 : (2nd :; IEEE/ASME International Conference on Advanced Intelligent Mechatronics Corporate Author",1999,Technology,Engineering & allied operations,Applied physics
115,"1999 International Conference on Information Intelligence and Systems : proceedings, October 31-November 3, 1999","International Conference on Information Intelligence and Systems Bethesda, Md.) (1999 :; International Conference on Information Intelligence and Systems Corporate Author",1999,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
116,"1999 International Workshops on Parallel Processing : proceedings : 21-24 September, 1999, Aizu-Wakamatsu City, Japan ","International Conference on Parallel Processing Workshops Aizu-Wakamatsu, Japan) (1999 :; International Conference on Parallel Processing Workshops Corporate Author",1999,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
117,"1999 Internet Workshop : IWS 99, Osaka University Convention Center, Suita, Osaka, Japan, 18-20 February 1999",Internet Workshop Osaka University) (1999 :; Internet Workshop Corporate Author,1999,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
118,"1999 Telecommunications Information Networking Architecture Conference Proceedings : 15 April 1999, Oahu, Hawaii ","Telecommunications Information Networking Architecture Oahu, Hawaii) (1999 :; TINA '99 Corporate Author",1999,"Computer science, information & general works","Computer science, knowledge & systems",Data processing & computer science
119,"19th IEEE VLSI Test Symposium, 2001, Marina Del Rey, CA","IEEE Computer Society Press, author, issuing body.",2001,Technology,Engineering & allied operations,Applied physics
120,1st International Conference on Polymers and Adhesives in Microelectronics and Photonics 2001,"Institute of Electrical and Electronics Engineers, author, issuing body.",2001,Technology,Engineering & allied operations,Applied physics
121,"1st International Symposium on Neuro-Fuzzy Systems : AT '96, August 29-31, 1996, EPFL-Lausanne, Switzerland : conference report ","International Symposium on Neuro-Fuzzy Systems Lausanne, Switzerland) 1996 : (1st :; International Symposium on Neuro-Fuzzy Systems Corporate Author",1996,"Computer science, information & general works","Computer science, knowledge & systems",Special computer methods
122,"1st report [session 1994-95] : low income statistics, low income families 1989-1992, together with the proceedings of the Committee relating to the report ",Great Britain. Parliament. House of Commons. Social Services Committee.,1995,Social sciences,Economics,Macroeconomics & related topics
123,20 common problems : ethics in primary care ,"Sugarman, Jeremy.",2000,Philosophy & psychology,Ethics,Occupational ethics
124,200 puzzling physics problems ,"Gna?dig, Pe?ter.",2001,Natural Sciences and Mathemetics,Physics,Physics
125,"2000 Australian Software Engineering Conference : proceedings, 28-29 April 2000, Canberra, Australia","Australian Software Engineering Conference Canberra, A.C.T.) (2000 :; Australian Software Engineering Conference Corporate Author",2000,"Computer science, information & general works","Computer science, knowledge & systems","Computer programming, programs & data"
126,2000 Computers in Cardiology,"IEEE, Engineering in Medicine and Biology Staff Corporate Author",2000,Technology,Medicine & health,Diseases
127,2000 IEEE Electrical Performance of Electronic Packaging,"IEEE Components, Packaging and Manufacturing Technology Society Staff Corporate Author",2000,Technology,Engineering & allied operations,Applied physics
128,2000 IEEE International Integrated Reliability Workshop Final Report,"International Integrated Reliability Workshop Lake Tahoe, Calif.) (2000 :; IEEE, Electron Devices Society Staff Corporate Author",2000,Technology,Engineering & allied operations,Applied physics
129,2000 IEEE International Workshop on Factory Communication Systems,"IEEE International Workshop on Factory Communication Systems Porto, Portugal) (2000 :; IEEE Industrial Electronics Society Staff Corporate Author",2000,Technology,Manufacturing,Manufacturing
130,"2000 IEEE Symposium on Field-Programmable Custom Computing Machines : proceedings : April 17-19, 2000, Napa Valley, California","IEEE Symposium on FPGAs for Custom Computing Machines Napa Valley, Calif.) (2000 :; IEEE Symposium on FPGAs for Custom Computing Machines Corporate Author",2000,Technology,Engineering & allied operations,Applied physics
131,2000 International Conference on Industrial Technology,"IEEE International Conference on Industrial Technology Goa, India) (2000 :; IEEE Industrial Electronics Society Staff Corporate Author",2000,Technology,Engineering & allied operations,Applied physics
132,"2001 conference proceedings of the 23rd Annual International Conference of the IEEE Engineering in Medicine and Biology Society, 25-28 October 2001, Istanbul, Turkey : building new bridges at the frontiers of engineering and medicine",IEEE Engineering in Medicine and Biology Society Annual Conference Corporate Author,2001,Technology,Medicine & health,Medicine & health
133,"2001 digest of the LEOS Summer Topical Meetings : Advanced seimconductor lasers and applications ; Ultraviolet and blue lasers and their applications ; Ultralong haul DWDM transmissions and networking ; WDM components : 30 July-1 August, 2001, Copper Mount","LEOS Summer Topical Meetings Copper Mountain, Colo.) (2001 :; LEOS Summer Topical Meetings Corporate Author",2001,Technology,Engineering & allied operations,Applied physics
134,2001 IEEE 4th Workshop on Multimedia Signal Processing,"IEEE Workshop on Multimedia Signal Processing Cannes, France) 2001 : (4th :; IEEE Signal Processing Society Staff Corporate Author",2001,Technology,Engineering & allied operations,Applied physics
